i,s,window_id,xb,yb,zb,psi,xl,yl,zl,xr,yr,zr,h_l,h_r,clear_l,clear_r,left_contact,right_contact
11,0.3142857142857143,-1,2.6592794285714287,-2.0134531428571427,0.7356509393397413,-1.4862652762296822,2.9083867729867765,-1.9923455385796973,-0.054454522379306154,2.410172084156081,-2.0345607471345883,-0.05876041108831239,-0.05945452237930615,-0.06376041108831239,0.0049999999999999975,0.0049999999999999975,1,1
12,0.34285714285714286,-1,2.6616202857142857,-2.0410794285714284,0.7439184261953228,-1.4862652762296822,2.9107276301296334,-2.019971824293983,-0.044715119468999746,2.412512941298938,-2.062187032848874,-0.052401258971023684,-0.049715119468999744,-0.05740125897102368,0.0049999999999999975,0.0049999999999999975,1,1
13,0.37142857142857144,-1,2.6639611428571426,-2.068705714285714,0.7515733657099722,-1.4862652762296664,2.9130684872724903,-2.047598110008265,-0.03684313323735622,2.414853798441795,-2.0898133185631633,-0.046072852335650574,-0.041843133237356216,-0.05107285233565057,0.0049999999999999975,0.0049999999999999975,1,1
14,0.4,0,2.666302,-2.096332,0.7589638571170076,-1.4862652762296664,2.9154093444153477,-2.0752243957225507,-0.0054086092821485215,2.417194655584652,-2.117439604277449,-0.03941735677295892,-0.03540860928214852,-0.04441735677295892,0.03,0.0049999999999999975,0,1
15,0.42857142857142855,0,2.6686428571428573,-2.1239582857142856,0.7665040502233262,-1.4862652762296822,2.917750201558205,-2.10285068143684,0.0002378594573306976,2.4195355127275096,-2.145065889991731,-0.0320922792628439,-0.0297621405426693,-0.0370922792628439,0.03,0.0049999999999999975,0,1
16,0.45714285714285713,0,2.6709837142857142,-2.1515845714285713,0.7746074255602274,-1.4862652762296822,2.920091058701062,-2.1304769671511257,0.027100509961237168,2.4218763698703665,-2.172692175706017,-0.023825708641256868,-0.024143117452800802,-0.02882570864125687,0.05124362741403797,0.005000000000000001,0,1
17,0.4857142857142857,0,2.673324571428571,-2.179210857142857,0.7836093506151449,-1.5825309820467046,2.923307358859355,-2.182144453627645,0.14604801475736026,2.4233417839977873,-2.176277260658069,-0.022635411003183822,-0.011277508601788562,-0.027635411003183823,0.15732552335914882,0.005000000000000001,0,1
18,0.5142857142857142,0,2.6731148571428567,-2.1970813999999996,0.7900522150094135,-1.8986733150875077,2.909796896683964,-2.277589860168243,0.210271979354699,2.4364328176017493,-2.116572939831756,-0.039070553035096746,0.02580985618414185,-0.04407055303509674,0.18446212317055713,0.0049999999999999975,0,1
19,0.5428571428571428,0,2.6703545714285712,-2.2051961999999996,0.7932074026695458,-1.89867331508754,2.907036610969676,-2.2857046601682507,0.1971051712218475,2.4336725318874666,-2.1246877398317485,-0.03710255816532229,0.029463743619298554,-0.04210255816532229,0.16764142760254896,0.0049999999999999975,0,1
20,0.5714285714285714,0,2.6675942857142854,-2.213311,0.7964561055046142,-1.8986733150875077,2.9042763252553927,-2.2938194601682436,0.12921482289021174,2.430912246173178,-2.1328025398317565,-0.035073478480218405,0.033115973904357485,-0.0400734784802184,0.09609884898585426,0.0049999999999999975,0,1
21,0.6,0,2.664834,-2.2214258,0.7997906127417327,-1.8986733150875568,2.9015160395411033,-2.301934260168255,0.06674387538390514,2.4281519604588966,-2.140917339831745,-0.03297510427214652,0.03674387538390514,-0.037975104272146516,0.03,0.0049999999999999975,0,1
22,0.6285714285714286,0,2.662073714285714,-2.2295406,0.8032014354159868,-1.8986733150875077,2.8987557538268214,-2.3100490601682435,0.07032449896253773,2.4253916747446067,-2.1490321398317564,-0.030800013195777003,0.04032449896253772,-0.035800013195777004,0.030000000000000006,0.005000000000000001,0,1
